PLD (Å),LCD (Å),LCD/PLD,Sacc (m2/g),Porosity,Pore Volume (cm3/g),Qst-N2 (kJ/mol),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,LOG(DN2 - INF),LOG(DN2 - 1 bar)
34.44668,34.61497,1.004885522,1924.91,0.79376,1.888205377,4.96E+00,55.17241379,34.48275862,0,6.896551724,3.448275862,0,0,-2.63758,-2.59354
22.28222,22.52993,1.011116935,1811.83,0.73536,1.246563035,5.83E+00,57.14285714,28.57142857,7.142857143,0,0,0,7.142857143,-2.89097,-2.86023
29.34631,29.53268,1.006350713,1927.96,0.77516,1.619505265,5.26E+00,57.89473684,31.57894737,5.263157895,0,0,0,5.263157895,-2.66896,-2.81876
14.50589,14.87005,1.025104285,1498.63,0.64632,0.857789009,6.87E+00,59.09090909,31.81818182,4.545454545,0,0,0,4.545454545,-2.98608,-3.12444
15.39744,15.74056,1.022284224,1641.19,0.67062,0.953700135,6.16E+00,57.14285714,28.57142857,9.523809524,0,0,0,4.761904762,-2.97277,-3.08507
34.82461,34.97956,1.00444944,1866.35,0.79366,1.854267811,4.84E+00,56.52173913,26.08695652,0,13.04347826,4.347826087,0,0,-2.50715,-2.68508
15.76522,16.06665,1.019119936,2164.64,0.71522,1.236452904,6.62E+00,48.7804878,34.14634146,14.63414634,0,0,0,2.43902439,-3.13373,-3.20372
7.84341,8.45883,1.078463321,1393.3,0.56732,0.674128999,9.77E+00,58.69565217,34.7826087,6.52173913,0,0,0,0,-3.214,-3.41009
7.98521,9.86309,1.23516977,3946.15,0.72614,1.378795704,8.36E+00,51.2605042,42.01680672,3.361344538,3.361344538,0,0,0,-3.57546,-3.56837
18.49772,23.03655,1.245372403,8580.7,0.9386,8.084131468,2.19E+00,53.4591195,41.50943396,2.51572327,2.51572327,0,0,0,-2.56545,-2.7349
5.02763,5.77387,1.148427788,1101.82,0.57018,0.685670169,1.26E+01,52.63157895,40.35087719,3.50877193,3.50877193,0,0,0,-4.14498,-4.24234
23.44472,23.68264,1.010148127,1927.91,0.73568,1.376932709,5.39E+00,52.94117647,35.29411765,5.882352941,5.882352941,0,0,0,-2.6699,-2.76172
21.65111,21.90241,1.011606795,1667.04,0.69412,1.155734047,6.28E+00,50,40,5,5,0,0,0,-2.63507,-2.75424
14.56137,14.80414,1.016672195,1601.61,0.65458,0.910047673,6.45E+00,50,33.33333333,8.333333333,8.333333333,0,0,0,-2.79929,-2.95772
10.9469,11.39779,1.04118883,1390.45,0.58732,0.706685549,7.80E+00,55,35,5,5,0,0,0,-2.80793,-3.07316
7.16556,9.34656,1.304372582,4266.05,0.7499,1.536220721,1.27E+01,56.60377358,35.8490566,5.031446541,2.51572327,0,0,0,-3.62234,-3.67698
18.84768,19.35841,1.027097765,2221.59,0.75284,1.44197913,5.50E+00,56.25,31.25,3.125,0,0,9.375,0,-2.9961,-2.94092
18.58985,19.00793,1.022489692,1891.19,0.72758,1.23595582,5.43E+00,54.83870968,29.03225806,6.451612903,0,0,9.677419355,0,-2.98304,-3.07235
31.34049,31.52027,1.005736349,1938.68,0.7794,1.744560838,4.96E+00,57.14285714,28.57142857,0,9.523809524,4.761904762,0,0,-2.69643,-2.82111
8.50466,9.68318,1.138573441,5308.23,0.79852,2.054144715,5.57E+00,48.97959184,32.65306122,0,8.163265306,10.20408163,0,0,-3.06188,-3.07926
19.05082,27.47264,1.44207126,6351.38,0.9169,5.434318769,3.16E+00,63.63636364,20.77922078,0,10.38961039,5.194805195,0,0,-2.73866,-2.82339
24.20917,24.5783,1.015247528,2109.22,0.73274,1.349409217,7.97E+00,56.75675676,32.43243243,0,10.81081081,0,0,0,-3.15429,-3.01608
