PLD (Å),LCD (Å),LCD/PLD,Sacc (m2/g),Porosity,Pore Volume (cm3/g),Qst-O2 (kJ/mol),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,LOG(DO2 - INF),LOG(DO2 - 1 bar)
11.36215,11.54437,1.016037458,1129.92,0.55868,0.592728708,7.79E+00,60,25,5,10,0,0,0,-3.42871,-3.45125
12.6352,13.02033,1.030480721,1452.87,0.61674,0.687958112,9.73E+00,60,20,10,10,0,0,0,-3.17361,-3.29531
28.67772,28.86447,1.006512024,1950.31,0.771,1.620360641,5.25E+00,60,30,5,5,0,0,0,-2.7799,-2.82489
16.56768,16.88792,1.0193292,1714.36,0.66374,1.042880105,6.27E+00,61.53846154,38.46153846,0,0,0,0,0,-3.07741,-3.10005
21.08443,21.27538,1.009056446,2039.01,0.6908,1.161553064,7.33E+00,54.83870968,38.70967742,3.225806452,0,0,0,3.225806452,-2.76288,-3.01677
21.54252,21.84179,1.013892061,2043.69,0.7174,1.251017956,6.27E+00,60.71428571,32.14285714,3.571428571,0,0,0,3.571428571,-2.96529,-3.09324
15.58649,15.79013,1.013065161,1927.2,0.68516,1.108194356,6.05E+00,59.52380952,35.71428571,4.761904762,0,0,0,0,-2.93179,-3.31899
22.49727,22.82201,1.01443464,2287.09,0.75268,1.574407202,5.34E+00,58.18181818,36.36363636,5.454545455,0,0,0,0,-2.91354,-2.9963
13.84176,14.11905,1.020032857,1836.85,0.6642,1.008899643,6.57E+00,59.52380952,35.71428571,4.761904762,0,0,0,0,-3.44972,-3.58605
29.88783,30.08263,1.006517703,1741.96,0.7759,1.544642128,5.65E+00,57.89473684,21.05263158,0,10.52631579,5.263157895,0,5.263157895,-2.82863,-3.06954
31.38514,31.68082,1.009421019,2277.34,0.77402,1.591795268,6.90E+00,58.13953488,32.55813953,4.651162791,0,0,0,4.651162791,-3.03586,-3.20072
23.42764,23.68646,1.011047634,1782.64,0.72634,1.207527722,7.70E+00,50,30.76923077,0,11.53846154,3.846153846,0,3.846153846,-2.83207,-2.87442
7.49194,8.42477,1.124511141,5204.86,0.77266,1.765232688,6.19E+00,47.82608696,43.47826087,8.695652174,0,0,0,0,-3.19925,-3.21926
7.37376,8.49886,1.152581587,4304.48,0.7488,1.435516771,6.89E+00,44,40,8,8,0,0,0,-3.30095,-3.30819
31.32681,31.50293,1.005622022,2056.26,0.73294,1.433130111,5.79E+00,56.98924731,36.55913978,6.451612903,0,0,0,0,-2.84504,-2.99361
9.73082,11.35144,1.16654506,3488.17,0.71632,1.31935734,1.07E+01,56.98924731,36.55913978,6.451612903,0,0,0,0,-3.80494,-3.76905
8.981,9.50439,1.058277475,1091.97,0.50322,0.557093134,8.56E+00,50,37.5,6.25,0,6.25,0,0,-3.16274,-3.29433
15.93388,16.0767,1.008963291,2731.74,0.72326,1.348872427,7.88E+00,56.06060606,36.36363636,7.575757576,0,0,0,0,-3.42309,-3.41926
15.87921,16.17243,1.018465654,1425.81,0.62994,0.807050449,7.13E+00,56.52173913,26.08695652,4.347826087,8.695652174,4.347826087,0,0,-2.96044,-3.08579
35.2441,35.39294,1.004223118,1897.75,0.79356,1.881307594,4.91E+00,53.57142857,32.14285714,3.571428571,7.142857143,3.571428571,0,0,-2.64044,-2.78586
32.73607,32.90312,1.005102934,1910.99,0.78096,1.758720865,5.64E+00,51.61290323,35.48387097,3.225806452,6.451612903,3.225806452,0,0,-2.73205,-2.75868
8.53533,9.02441,1.057300655,928.833,0.4902,0.470400829,9.13E+00,50,28.57142857,7.142857143,7.142857143,7.142857143,0,0,-3.08245,-3.17056
8.54051,9.02697,1.056959128,907.124,0.48356,0.462515543,9.15E+00,50,28.57142857,7.142857143,7.142857143,7.142857143,0,0,-3.0753,-3.18869
10.6911,11.33366,1.060102328,1450.41,0.57354,0.725232539,8.35E+00,47.6635514,47.6635514,3.738317757,0,0.934579439,0,0,-2.82134,-3.02541
34.44668,34.61497,1.004885522,1924.91,0.79376,1.888205377,4.91E+00,55.17241379,34.48275862,0,6.896551724,3.448275862,0,0,-2.62822,-2.85871
22.28222,22.52993,1.011116935,1811.83,0.73536,1.246563035,5.99E+00,57.14285714,28.57142857,7.142857143,0,0,0,7.142857143,-2.87889,-2.91284
29.34631,29.53268,1.006350713,1927.96,0.77516,1.619505265,5.43E+00,57.89473684,31.57894737,5.263157895,0,0,0,5.263157895,-2.75672,-2.93843
14.50589,14.87005,1.025104285,1498.63,0.64632,0.857789009,6.97E+00,59.09090909,31.81818182,4.545454545,0,0,0,4.545454545,-3.11536,-3.19193
15.39744,15.74056,1.022284224,1641.19,0.67062,0.953700135,6.25E+00,57.14285714,28.57142857,9.523809524,0,0,0,4.761904762,-3.03195,-3.19934
34.82461,34.97956,1.00444944,1866.35,0.79366,1.854267811,4.81E+00,56.52173913,26.08695652,0,13.04347826,4.347826087,0,0,-2.57836,-2.87747
15.76522,16.06665,1.019119936,2164.64,0.71522,1.236452904,6.73E+00,48.7804878,34.14634146,14.63414634,0,0,0,2.43902439,-3.22601,-3.26678
7.84341,8.45883,1.078463321,1393.3,0.56732,0.674128999,9.62E+00,58.69565217,34.7826087,6.52173913,0,0,0,0,-3.28949,-3.37039
7.98521,9.86309,1.23516977,3946.15,0.72614,1.378795704,8.47E+00,51.2605042,42.01680672,3.361344538,3.361344538,0,0,0,-3.58168,-3.57438
18.49772,23.03655,1.245372403,8580.7,0.9386,8.084131468,2.32E+00,53.4591195,41.50943396,2.51572327,2.51572327,0,0,0,-2.63948,-2.67494
5.02763,5.77387,1.148427788,1101.82,0.57018,0.685670169,1.29E+01,52.63157895,40.35087719,3.50877193,3.50877193,0,0,0,-4.18416,-4.17452
23.44472,23.68264,1.010148127,1927.91,0.73568,1.376932709,5.32E+00,52.94117647,35.29411765,5.882352941,5.882352941,0,0,0,-2.80991,-2.87093
21.65111,21.90241,1.011606795,1667.04,0.69412,1.155734047,6.23E+00,50,40,5,5,0,0,0,-2.73568,-2.83852
14.56137,14.80414,1.016672195,1601.61,0.65458,0.910047673,6.34E+00,50,33.33333333,8.333333333,8.333333333,0,0,0,-2.94279,-3.10362
10.9469,11.39779,1.04118883,1390.45,0.58732,0.706685549,7.69E+00,55,35,5,5,0,0,0,-2.94318,-2.92377
7.16556,9.34656,1.304372582,4266.05,0.7499,1.536220721,1.32E+01,56.60377358,35.8490566,5.031446541,2.51572327,0,0,0,-3.51141,-3.58333
18.84768,19.35841,1.027097765,2221.59,0.75284,1.44197913,5.38E+00,56.25,31.25,3.125,0,0,9.375,0,-3.05045,-3.13102
18.58985,19.00793,1.022489692,1891.19,0.72758,1.23595582,5.17E+00,54.83870968,29.03225806,6.451612903,0,0,9.677419355,0,-2.99416,-3.08538
31.34049,31.52027,1.005736349,1938.68,0.7794,1.744560838,4.95E+00,57.14285714,28.57142857,0,9.523809524,4.761904762,0,0,-2.72189,-3.00029
8.50466,9.68318,1.138573441,5308.23,0.79852,2.054144715,5.53E+00,48.97959184,32.65306122,0,8.163265306,10.20408163,0,0,-3.13842,-3.17799
19.05082,27.47264,1.44207126,6351.38,0.9169,5.434318769,3.31E+00,63.63636364,20.77922078,0,10.38961039,5.194805195,0,0,-2.73151,-2.73193
24.20917,24.5783,1.015247528,2109.22,0.73274,1.349409217,8.15E+00,56.75675676,32.43243243,0,10.81081081,0,0,0,-3.22874,-2.99456
37.54961,37.74057,1.005085539,2647.6,0.83454,2.741950322,3.77E+00,57.69230769,38.46153846,3.846153846,0,0,0,0,-2.55101,-2.58773
34.3979,34.55962,1.00470145,2449.5,0.82182,2.35222394,4.29E+00,57.69230769,34.61538462,0,7.692307692,0,0,0,-2.6503,-2.92756
55.44839,55.49799,1.000894526,2371.05,0.86226,3.284061868,3.51E+00,57.14285714,38.7755102,0,4.081632653,0,0,0,-2.34479,-2.38192
9.79296,10.47702,1.06985222,1277.65,0.58932,0.731431238,6.96E+00,43.75,37.5,0,12.5,6.25,0,0,-3.26943,-3.47993
12.22497,12.7233,1.04076329,1965.68,0.6377,0.86488202,9.33E+00,46.15384615,30.76923077,0,15.38461538,7.692307692,0,0,-3.26844,-3.43284
13.70357,14.0752,1.027119211,1601.26,0.63478,0.789035688,8.76E+00,50,20,0,20,10,0,0,-3.17316,-3.35522
27.14113,34.56119,1.273388028,7623.71,0.90746,5.158807311,3.95E+00,57.63546798,38.42364532,3.9408867,0,0,0,0,-2.8821,-2.86074
5.40897,9.86824,1.824421285,4214.86,0.72396,1.3867345,8.14E+00,39.48339483,44.2804428,0,8.856088561,7.380073801,0,0,-3.50943,-3.55157
9.26179,9.35855,1.010447225,3254.74,0.72776,1.334558304,9.66E+00,56.16438356,38.35616438,5.479452055,0,0,0,0,-3.72636,-3.69301
4.33795,4.58342,1.056586637,399.366,0.46242,0.443793967,1.52E+01,56.16438356,38.35616438,5.479452055,0,0,0,0,-3.28394,-3.34525
8.87996,8.97856,1.011103654,1869.59,0.62822,0.854392118,9.79E+00,56.16438356,38.35616438,5.479452055,0,0,0,0,-3.16169,-3.22802
4.09217,4.35137,1.063340477,258.579,0.43584,0.390852838,1.70E+01,56.16438356,38.35616438,5.479452055,0,0,0,0,-3.31639,-3.56921
12.74558,13.0458,1.023554832,1134.58,0.5562,0.487980347,1.21E+01,66.66666667,13.33333333,6.666666667,13.33333333,0,0,0,-3.6296,-3.71884
12.78481,13.08945,1.023828277,1111.54,0.59634,0.565395883,1.04E+01,64.28571429,14.28571429,7.142857143,14.28571429,0,0,0,-3.57477,-3.65032
8.28768,8.45131,1.019743764,1791.81,0.62786,0.894782596,7.11E+00,56.98924731,38.70967742,4.301075269,0,0,0,0,-3.13508,-3.27192
18.69066,20.45335,1.094308601,3980.38,0.81322,2.247836386,1.24E+01,56.60377358,35.8490566,7.547169811,0,0,0,0,-3.67953,-3.64111
23.14657,23.37377,1.009815709,2027.01,0.74468,1.469098198,5.43E+00,50,37.5,6.25,6.25,0,0,0,-2.85902,-2.95254
16.8085,17.19339,1.022898533,2642.36,0.72696,1.29790877,7.50E+00,40.90909091,40.90909091,9.090909091,9.090909091,0,0,0,-3.59103,-3.6155
32.26851,32.49748,1.007095772,2597.35,0.82036,2.358488125,3.59E+00,46.875,40.625,6.25,6.25,0,0,0,-2.68613,-2.75306
21.98706,22.24941,1.011932018,1742.73,0.7308,1.202762997,6.46E+00,55.55555556,27.77777778,5.555555556,11.11111111,0,0,0,-3.06479,-3.0365
23.64538,23.86875,1.009446666,1697.67,0.72312,1.244464943,5.90E+00,56.25,25,0,12.5,6.25,0,0,-2.89769,-3.01711
8.56216,9.14896,1.068534108,1114.65,0.53162,0.533721261,9.60E+00,57.14285714,21.42857143,0,14.28571429,7.142857143,0,0,-3.26706,-3.30968
24.14836,24.38426,1.009768779,1743.58,0.73324,1.341876072,5.81E+00,57.14285714,30.15873016,3.174603175,6.349206349,3.174603175,0,0,-2.89765,-2.97172
16.21639,16.54198,1.020077835,1595.7,0.65038,0.931708428,6.39E+00,58.33333333,29.16666667,0,8.333333333,4.166666667,0,0,-3.02034,-3.16847
17.28794,17.6262,1.019566241,1612.52,0.67756,0.93337466,8.91E+00,62.22222222,28.88888889,4.444444444,0,0,0,4.444444444,-2.93919,-3.06871
25.30476,25.68704,1.015107039,2252.6,0.7401,1.451680289,8.12E+00,56.75675676,37.83783784,5.405405405,0,0,0,0,-3.16113,-3.12843
25.21035,25.45912,1.009867773,2597.93,0.79384,1.942097203,4.09E+00,46.66666667,33.33333333,13.33333333,6.666666667,0,0,0,-2.75886,-2.85347
10.98125,12.52501,1.140581446,5102.7,0.75934,1.646030053,9.44E+00,56.52173913,38.04347826,5.434782609,0,0,0,0,-3.57675,-3.61921
10.12633,11.59954,1.145483112,3831.24,0.71288,1.315910429,9.16E+00,55.55555556,37.5,6.944444444,0,0,0,0,-3.91504,-3.94899
31.98616,32.11213,1.003938266,2477.4,0.77316,1.790298267,6.12E+00,57.44680851,38.29787234,4.255319149,0,0,0,0,-2.91348,-2.89656
21.24887,21.39035,1.006658236,1375.09,0.62376,0.827330448,7.33E+00,54.05405405,35.13513514,5.405405405,5.405405405,0,0,0,-2.89488,-3.17074
16.83337,17.12286,1.017197388,2390.91,0.70752,1.356556151,5.69E+00,54.54545455,36.36363636,9.090909091,0,0,0,0,-2.96824,-2.96675
24.86871,25.35566,1.019580831,3444.92,0.8318,2.48857136,5.33E+00,53.04878049,38.41463415,4.87804878,0,0,0,3.658536585,-3.21295,-3.30323
9.65747,11.09613,1.148968622,2283.27,0.67046,1.078190783,7.34E+00,53.19148936,42.55319149,4.255319149,0,0,0,0,-3.47176,-3.49464
14.64627,14.87352,1.015515896,2607.7,0.72348,1.407127048,6.41E+00,59.09090909,38.63636364,2.272727273,0,0,0,0,-3.22478,-3.32218
26.94167,27.1243,1.006778719,1677.46,0.75146,1.348856328,4.91E+00,55,25,10,0,0,10,0,-2.60886,-2.62949
9.7242,10.56229,1.08618601,782.175,0.5707,0.525777565,9.16E+00,38.23529412,23.52941176,5.882352941,5.882352941,0,26.47058824,0,-3.73334,-3.73259
23.89316,24.1474,1.010640702,2102,0.70558,1.275039349,6.83E+00,56.09756098,37.80487805,6.097560976,0,0,0,0,-2.95738,-2.88993
16.82414,17.17805,1.021035845,1684.24,0.59818,0.770020957,9.13E+00,52.27272727,38.63636364,4.545454545,4.545454545,0,0,0,-3.55166,-3.63139
9.74184,10.18081,1.045060276,1301.04,0.57538,0.611191546,7.84E+00,42.85714286,28.57142857,14.28571429,14.28571429,0,0,0,-3.06617,-3.1935
13.58509,14.58188,1.073373824,2747.7,0.70796,1.311020042,7.92E+00,44.82758621,48.27586207,3.448275862,3.448275862,0,0,0,-3.70832,-3.62751
21.34032,21.55177,1.009908474,1674.5,0.70852,1.134383416,5.87E+00,40,35,10,15,0,0,0,-2.76491,-2.79528
9.06841,9.51608,1.049365876,600.981,0.48302,0.484334969,8.19E+00,55.07246377,37.68115942,7.246376812,0,0,0,0,-3.49819,-3.61962
15.60159,15.98839,1.024792345,2205.43,0.70816,1.237451356,5.91E+00,54.54545455,36.36363636,9.090909091,0,0,0,0,-3.08223,-3.26798
8.40883,9.02368,1.073119566,482.236,0.52898,0.574896401,1.36E+01,37.5,46.875,6.25,6.25,0,0,3.125,-3.36657,-3.47049
10.67786,11.16226,1.045364895,1488.03,0.59456,0.761673437,7.08E+00,61.9047619,33.33333333,4.761904762,0,0,0,0,-2.99172,-3.28614
35.49808,35.70981,1.005964548,2538.44,0.83738,2.619677773,3.78E+00,50.94339623,37.73584906,7.547169811,3.773584906,0,0,0,-2.52537,-2.71064
11.24578,11.69348,1.039810489,1860.91,0.61976,0.843756169,8.26E+00,57.14285714,35.71428571,7.142857143,0,0,0,0,-3.22027,-3.22878
22.83776,23.86923,1.045165113,6014.09,0.8601,2.97218565,7.88E+00,54.23728814,30.50847458,0,10.16949153,5.084745763,0,0,-3.23583,-3.25303
25.24971,25.75548,1.020030725,3913,0.84754,2.831324496,5.58E+00,54.375,36.875,5,0,0,0,3.75,-3.32553,-3.36536
23.81541,24.06097,1.010310971,1831.5,0.72056,1.36827054,4.45E+00,61.11111111,33.33333333,5.555555556,0,0,0,0,-2.70638,-2.83184
32.05739,32.23268,1.005468006,1966.39,0.77422,1.842222984,3.82E+00,60.86956522,34.7826087,4.347826087,0,0,0,0,-2.59598,-2.92842
16.88399,17.68947,1.047706733,4042.07,0.81256,2.418175,5.31E+00,41.83673469,51.02040816,5.102040816,2.040816327,0,0,0,-3.28093,-3.41278
38.02857,38.18266,1.004051954,2421.47,0.82272,2.469681324,3.66E+00,57.69230769,38.46153846,3.846153846,0,0,0,0,-2.59831,-2.79891
38.73241,38.88744,1.004002591,2573.21,0.84332,2.69574279,4.23E+00,52.72727273,34.54545455,9.090909091,3.636363636,0,0,0,-2.60911,-2.58692
37.56498,37.65744,1.002461335,3106.64,0.85454,3.028994754,4.06E+00,53.84615385,34.61538462,7.692307692,3.846153846,0,0,0,-2.71595,-2.64557
26.35383,26.54457,1.007237658,2082.13,0.76606,1.616917628,4.56E+00,51.35135135,29.72972973,13.51351351,5.405405405,0,0,0,-2.75607,-3.22156
25.82277,26.05323,1.008924682,2077.82,0.77472,1.555653279,5.74E+00,50,33.33333333,11.11111111,5.555555556,0,0,0,-2.86517,-2.93624
38.80415,38.87485,1.00182197,2607.72,0.80212,2.147841501,5.60E+00,57.89473684,38.59649123,3.50877193,0,0,0,0,-2.86059,-2.73101
12.63935,13.00429,1.02887332,1699.8,0.64652,0.883768551,7.03E+00,52,28,12,8,0,0,0,-3.052,-3.04514
38.96494,39.10948,1.003709489,2611.01,0.83528,2.677703012,3.91E+00,54.16666667,37.5,8.333333333,0,0,0,0,-2.58283,-2.69796
25.97265,26.20447,1.008925543,2379.75,0.76662,1.787338809,5.17E+00,56,40,4,0,0,0,0,-2.66009,-2.9822
21.23186,21.48053,1.011712116,2260.29,0.773,1.69902059,5.11E+00,53.06122449,36.73469388,7.142857143,3.06122449,0,0,0,-2.89947,-3.02047
23.07162,23.97144,1.039001162,5034.96,0.85508,2.962198265,1.29E+01,52.45901639,34.42622951,9.836065574,3.278688525,0,0,0,-3.63195,-3.53707
10.6711,11.55953,1.083255709,1045.28,0.57244,0.679448361,1.46E+01,54.54545455,39.39393939,6.060606061,0,0,0,0,-4.33657,-4.37896
18.67205,18.83659,1.008812102,1507.46,0.65308,0.90734036,6.85E+00,52.63157895,31.57894737,0,10.52631579,5.263157895,0,0,-3.07998,-3.05317
8.40705,8.94082,1.063490761,993.066,0.5077,0.498023405,9.11E+00,57.14285714,28.57142857,14.28571429,0,0,0,0,-3.07589,-3.13425
10.55911,10.99477,1.041259159,1241.18,0.55678,0.615227199,7.49E+00,60,30,10,0,0,0,0,-3.19794,-3.23076
6.02452,6.73972,1.118714852,1007.55,0.52324,0.507084294,1.16E+01,50,25,25,0,0,0,0,-3.30413,-3.47945
21.99696,22.25586,1.011769808,1733.44,0.72906,1.193368755,6.49E+00,55.55555556,27.77777778,5.555555556,11.11111111,0,0,0,-3.03238,-3.05634
14.85314,15.16267,1.020839365,1485.39,0.64318,0.815418378,7.05E+00,50,25,8.333333333,16.66666667,0,0,0,-3.00065,-3.1648
15.82205,16.14031,1.020114966,1634.8,0.66114,0.936903488,6.31E+00,50,33.33333333,8.333333333,8.333333333,0,0,0,-2.99706,-3.12214
19.03653,19.28003,1.012791197,1547.81,0.69218,1.002070214,7.41E+00,54.54545455,18.18181818,6.060606061,12.12121212,6.060606061,0,3.03030303,-2.97718,-3.09717
21.82001,22.09147,1.012440874,1891.18,0.73434,1.317397927,5.72E+00,55.55555556,33.33333333,5.555555556,5.555555556,0,0,0,-2.99933,-2.93907
21.37753,30.82847,1.442096912,6958.99,0.93212,6.936294025,2.83E+00,61.29032258,25.80645161,0,8.602150538,4.301075269,0,0,-2.67262,-2.73204
27.50721,27.70127,1.007054878,1782.77,0.74908,1.424027953,5.23E+00,61.11111111,22.22222222,0,11.11111111,5.555555556,0,0,-2.85409,-2.79729
30.33059,30.47384,1.004722955,1932.9,0.78676,1.672306489,7.00E+00,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0,-2.7306,-2.8574
28.94654,29.02379,1.002668713,2148.74,0.78628,1.856702292,4.06E+00,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0,-2.99848,-3.22583
29.44973,29.61979,1.005774586,2207.3,0.78594,1.877606991,4.23E+00,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0,-2.70589,-2.8597
19.00554,19.13609,1.00686905,1806.59,0.71216,1.202402238,6.28E+00,54.54545455,34.54545455,7.272727273,3.636363636,0,0,0,-3.06948,-3.00668
17.50947,17.74285,1.013328787,1762.18,0.70666,1.103540681,7.20E+00,54.54545455,34.54545455,7.272727273,3.636363636,0,0,0,-3.03823,-3.07643
17.39891,18.46813,1.061453275,4307.16,0.82422,2.346914659,1.31E+01,53.57142857,35.71428571,7.142857143,3.571428571,0,0,0,-3.71533,-3.73888
28.83791,28.97733,1.004834608,2055.84,0.78488,1.808579276,3.77E+00,52.38095238,33.33333333,9.523809524,4.761904762,0,0,0,-2.69822,-2.76196
14.17588,16.11614,1.136870515,7251.58,0.90082,4.713817752,3.23E+00,46.34146341,39.02439024,4.87804878,4.87804878,4.87804878,0,0,-2.81367,-2.79673
14.1657,16.1092,1.137197597,6615.93,0.89698,4.233374079,3.35E+00,46.34146341,34.14634146,4.87804878,4.87804878,4.87804878,4.87804878,0,-2.84506,-2.8727
14.61444,15.22203,1.041574634,2323.71,0.7196,1.318110464,6.11E+00,52.45901639,37.70491803,6.557377049,3.278688525,0,0,0,-3.04208,-3.13173
16.38611,16.51752,1.008019597,1837.52,0.6725,1.03814668,7.13E+00,52.45901639,37.70491803,6.557377049,3.278688525,0,0,0,-3.03393,-3.10063
25.51863,25.62215,1.004056644,1965.11,0.74186,1.504387272,5.60E+00,50,41.56626506,4.21686747,4.21686747,0,0,0,-2.7163,-2.90188
24.38004,24.50349,1.005063568,1916.35,0.73354,1.436145427,6.01E+00,50,40.36144578,4.21686747,5.421686747,0,0,0,-2.76094,-2.91408
23.23817,23.31082,1.003126322,1877.56,0.73106,1.414097257,5.74E+00,49.70414201,40.82840237,4.142011834,5.325443787,0,0,0,-2.76027,-2.89654
23.9675,24.14077,1.007229373,1831.45,0.72804,1.404590521,5.41E+00,48.87640449,42.69662921,4.494382022,3.93258427,0,0,0,-2.69154,-2.91476
20.81745,20.94699,1.006222664,1447.82,0.68052,1.106097743,5.55E+00,46.22641509,44.33962264,3.773584906,5.660377358,0,0,0,-2.65894,-2.93553
19.26829,19.382,1.005901406,1464.14,0.67458,1.066905802,5.40E+00,45.87155963,43.11926606,3.669724771,7.339449541,0,0,0,-2.65311,-2.91581
39.68397,39.9305,1.006212332,2621.58,0.79732,2.107377619,5.12E+00,56.66666667,40,3.333333333,0,0,0,0,-2.8694,-2.77876
17.39813,17.54485,1.00843309,1499.4,0.68054,0.945942001,7.16E+00,57.69230769,27.88461538,8.653846154,5.769230769,0,0,0,-2.95422,-3.11324
42.80809,42.93816,1.003038444,1829.24,0.81612,2.084086661,4.88E+00,57.57575758,24.24242424,3.03030303,12.12121212,3.03030303,0,0,-2.70319,-2.92052
43.28884,43.42187,1.003073078,1934.87,0.82484,2.213687807,4.65E+00,56.66666667,23.33333333,3.333333333,13.33333333,3.333333333,0,0,-2.67278,-2.83339
10.03477,10.55423,1.05176601,1317.7,0.5808,0.622459336,9.43E+00,50.94339623,37.73584906,5.660377358,3.773584906,0,1.886792453,0,-3.7374,-3.74724
10.03477,10.55423,1.05176601,1467.28,0.58566,0.689131755,9.34E+00,50.94339623,37.73584906,5.660377358,3.773584906,0,1.886792453,0,-3.71096,-3.70764
10.03477,10.55423,1.05176601,1572.98,0.59568,0.727286935,8.93E+00,50.94339623,37.73584906,5.660377358,3.773584906,0,1.886792453,0,-3.67071,-3.79237
7.62148,7.93604,1.041272824,1293.92,0.56012,0.548561803,7.98E+00,50.94339623,37.73584906,5.660377358,3.773584906,0,1.886792453,0,-3.49608,-3.64727
