PLD (Å),LCD (Å),LCD/PLD,Sacc (m2/g),Porosity,Pore Volume (cm3/g),Qst-CO2 (kJ/mol),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,LOG(DCO2 - INF),LOG(DCO2 - 1 bar)
5.02763,5.77387,1.148427788,1101.82,0.57018,0.685670169,2.27E+01,52.63157895,40.35087719,3.50877193,3.50877193,0,0,0,-4.5422,-4.7419
23.44472,23.68264,1.010148127,1927.91,0.73568,1.376932709,1.34E+01,52.94117647,35.29411765,5.882352941,5.882352941,0,0,0,-3.183,-3.2527
21.65111,21.90241,1.011606795,1667.04,0.69412,1.155734047,1.24E+01,50,40,5,5,0,0,0,-3.501,-3.5702
14.56137,14.80414,1.016672195,1601.61,0.65458,0.910047673,1.44E+01,50,33.33333333,8.333333333,8.333333333,0,0,0,-3.3442,-3.3367
10.9469,11.39779,1.04118883,1390.45,0.58732,0.706685549,1.52E+01,55,35,5,5,0,0,0,-3.2174,-3.3399
7.16556,9.34656,1.304372582,4266.05,0.7499,1.536220721,2.63E+01,56.60377358,35.8490566,5.031446541,2.51572327,0,0,0,-4.0944,-4.1948
18.84768,19.35841,1.027097765,2221.59,0.75284,1.44197913,1.95E+01,56.25,31.25,3.125,0,0,9.375,0,-4.0057,-4.1493
18.58985,19.00793,1.022489692,1891.19,0.72758,1.23595582,2.08E+01,54.83870968,29.03225806,6.451612903,0,0,9.677419355,0,-4.073,-4.2271
31.34049,31.52027,1.005736349,1938.68,0.7794,1.744560838,1.18E+01,57.14285714,28.57142857,0,9.523809524,4.761904762,0,0,-3.1675,-3.1952
8.50466,9.68318,1.138573441,5308.23,0.79852,2.054144715,1.19E+01,48.97959184,32.65306122,0,8.163265306,10.20408163,0,0,-3.4453,-3.4857
19.05082,27.47264,1.44207126,6351.38,0.9169,5.434318769,7.72E+00,63.63636364,20.77922078,0,10.38961039,5.194805195,0,0,-3.1166,-3.1924
24.20917,24.5783,1.015247528,2109.22,0.73274,1.349409217,1.68E+01,56.75675676,32.43243243,0,10.81081081,0,0,0,-4.029,-4.038
37.54961,37.74057,1.005085539,2647.6,0.83454,2.741950322,7.83E+00,57.69230769,38.46153846,3.846153846,0,0,0,0,-2.9042,-2.9362
34.3979,34.55962,1.00470145,2449.5,0.82182,2.35222394,9.49E+00,57.69230769,34.61538462,0,7.692307692,0,0,0,-2.9837,-2.9499
55.44839,55.49799,1.000894526,2371.05,0.86226,3.284061868,8.35E+00,57.14285714,38.7755102,0,4.081632653,0,0,0,-3.0569,-3.0843
9.79296,10.47702,1.06985222,1277.65,0.58932,0.731431238,1.42E+01,43.75,37.5,0,12.5,6.25,0,0,-3.937,-4.0645
12.22497,12.7233,1.04076329,1965.68,0.6377,0.86488202,1.85E+01,46.15384615,30.76923077,0,15.38461538,7.692307692,0,0,-3.9636,-4.0263
13.70357,14.0752,1.027119211,1601.26,0.63478,0.789035688,1.72E+01,50,20,0,20,10,0,0,-4.0009,-4.1373
27.14113,34.56119,1.273388028,7623.71,0.90746,5.158807311,8.97E+00,57.63546798,38.42364532,3.9408867,0,0,0,0,-3.265,-3.2658
5.40897,9.86824,1.824421285,4214.86,0.72396,1.3867345,1.50E+01,39.48339483,44.2804428,0,8.856088561,7.380073801,0,0,-3.8342,-3.8692
9.26179,9.35855,1.010447225,3254.74,0.72776,1.334558304,1.87E+01,56.16438356,38.35616438,5.479452055,0,0,0,0,-4.1904,-4.1206
4.33795,4.58342,1.056586637,399.366,0.46242,0.443793967,2.46E+01,56.16438356,38.35616438,5.479452055,0,0,0,0,-3.5258,-4.2131
8.87996,8.97856,1.011103654,1869.59,0.62822,0.854392118,1.64E+01,56.16438356,38.35616438,5.479452055,0,0,0,0,-3.3913,-3.6666
4.09217,4.35137,1.063340477,258.579,0.43584,0.390852838,2.78E+01,56.16438356,38.35616438,5.479452055,0,0,0,0,-3.4632,-4.1621
12.74558,13.0458,1.023554832,1134.58,0.5562,0.487980347,2.03E+01,66.66666667,13.33333333,6.666666667,13.33333333,0,0,0,-3.8008,-4.1824
12.78481,13.08945,1.023828277,1111.54,0.59634,0.565395883,1.91E+01,64.28571429,14.28571429,7.142857143,14.28571429,0,0,0,-3.7735,-4.1437
8.28768,8.45131,1.019743764,1791.81,0.62786,0.894782596,1.15E+01,56.98924731,38.70967742,4.301075269,0,0,0,0,-3.2987,-3.3397
18.69066,20.45335,1.094308601,3980.38,0.81322,2.247836386,2.75E+01,56.60377358,35.8490566,7.547169811,0,0,0,0,-4.7528,-4.0982
23.14657,23.37377,1.009815709,2027.01,0.74468,1.469098198,1.53E+01,50,37.5,6.25,6.25,0,0,0,-3.8302,-3.8187
16.8085,17.19339,1.022898533,2642.36,0.72696,1.29790877,1.40E+01,40.90909091,40.90909091,9.090909091,9.090909091,0,0,0,-3.8146,-3.9322
32.26851,32.49748,1.007095772,2597.35,0.82036,2.358488125,9.66E+00,46.875,40.625,6.25,6.25,0,0,0,-3.4691,-3.4134
